C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,DAILY_ENTRIES,DAILY_EXITS
A007,R079,01-06-00,5 AV/59 ST,NQRW,BMT,05/26/2022,190.0,624.0
A007,R079,01-06-00,5 AV/59 ST,NQRW,BMT,05/27/2022,154.0,526.0
A007,R079,01-06-01,5 AV/59 ST,NQRW,BMT,05/21/2022,426.0,1175.0
A007,R079,01-06-01,5 AV/59 ST,NQRW,BMT,05/22/2022,330.0,989.0
A007,R079,01-06-01,5 AV/59 ST,NQRW,BMT,05/23/2022,529.0,1056.0
A007,R079,01-06-01,5 AV/59 ST,NQRW,BMT,05/24/2022,603.0,1010.0
A007,R079,01-06-01,5 AV/59 ST,NQRW,BMT,05/25/2022,588.0,1084.0
A007,R079,01-06-01,5 AV/59 ST,NQRW,BMT,05/26/2022,582.0,943.0
A007,R079,01-06-01,5 AV/59 ST,NQRW,BMT,05/27/2022,496.0,747.0
A007,R079,01-06-02,5 AV/59 ST,NQRW,BMT,05/21/2022,481.0,376.0
A007,R079,01-06-02,5 AV/59 ST,NQRW,BMT,05/22/2022,398.0,259.0
A007,R079,01-06-02,5 AV/59 ST,NQRW,BMT,05/23/2022,304.0,211.0
A007,R079,01-06-02,5 AV/59 ST,NQRW,BMT,05/24/2022,321.0,227.0
A007,R079,01-06-02,5 AV/59 ST,NQRW,BMT,05/25/2022,356.0,251.0
A007,R079,01-06-02,5 AV/59 ST,NQRW,BMT,05/26/2022,314.0,221.0
A007,R079,01-06-02,5 AV/59 ST,NQRW,BMT,05/27/2022,281.0,171.0
A007,R079,01-06-03,5 AV/59 ST,NQRW,BMT,05/21/2022,564.0,372.0
A007,R079,01-06-03,5 AV/59 ST,NQRW,BMT,05/22/2022,540.0,332.0
A007,R079,01-06-03,5 AV/59 ST,NQRW,BMT,05/23/2022,531.0,265.0
A007,R079,01-06-03,5 AV/59 ST,NQRW,BMT,05/24/2022,556.0,209.0
A007,R079,01-06-03,5 AV/59 ST,NQRW,BMT,05/25/2022,577.0,264.0
A007,R079,01-06-03,5 AV/59 ST,NQRW,BMT,05/26/2022,536.0,203.0
A007,R079,01-06-03,5 AV/59 ST,NQRW,BMT,05/27/2022,453.0,198.0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,05/21/2022,685.0,1425.0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,05/22/2022,599.0,1098.0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,05/23/2022,792.0,1272.0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,05/24/2022,817.0,1371.0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,05/25/2022,829.0,1423.0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,05/26/2022,724.0,1302.0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,05/27/2022,759.0,1170.0
A010,R080,00-00-01,57 ST-7 AV,NQRW,BMT,05/21/2022,467.0,695.0
A010,R080,00-00-01,57 ST-7 AV,NQRW,BMT,05/22/2022,370.0,531.0
A010,R080,00-00-01,57 ST-7 AV,NQRW,BMT,05/23/2022,462.0,607.0
A010,R080,00-00-01,57 ST-7 AV,NQRW,BMT,05/24/2022,552.0,684.0
A010,R080,00-00-01,57 ST-7 AV,NQRW,BMT,05/25/2022,505.0,672.0
A010,R080,00-00-01,57 ST-7 AV,NQRW,BMT,05/26/2022,525.0,680.0
A010,R080,00-00-01,57 ST-7 AV,NQRW,BMT,05/27/2022,469.0,558.0
A010,R080,00-00-02,57 ST-7 AV,NQRW,BMT,05/21/2022,332.0,395.0
A010,R080,00-00-02,57 ST-7 AV,NQRW,BMT,05/22/2022,308.0,271.0
A010,R080,00-00-02,57 ST-7 AV,NQRW,BMT,05/23/2022,366.0,412.0
A010,R080,00-00-02,57 ST-7 AV,NQRW,BMT,05/24/2022,391.0,434.0
A010,R080,00-00-02,57 ST-7 AV,NQRW,BMT,05/25/2022,422.0,462.0
A010,R080,00-00-02,57 ST-7 AV,NQRW,BMT,05/26/2022,383.0,425.0
A010,R080,00-00-02,57 ST-7 AV,NQRW,BMT,05/27/2022,346.0,370.0
A010,R080,00-00-03,57 ST-7 AV,NQRW,BMT,05/21/2022,293.0,245.0
A010,R080,00-00-03,57 ST-7 AV,NQRW,BMT,05/22/2022,236.0,192.0
A010,R080,00-00-03,57 ST-7 AV,NQRW,BMT,05/23/2022,314.0,296.0
A010,R080,00-00-03,57 ST-7 AV,NQRW,BMT,05/24/2022,359.0,337.0
A010,R080,00-00-03,57 ST-7 AV,NQRW,BMT,05/25/2022,354.0,328.0
A010,R080,00-00-03,57 ST-7 AV,NQRW,BMT,05/26/2022,330.0,305.0
A010,R080,00-00-03,57 ST-7 AV,NQRW,BMT,05/27/2022,275.0,272.0
A010,R080,00-00-04,57 ST-7 AV,NQRW,BMT,05/21/2022,380.0,314.0
A010,R080,00-00-04,57 ST-7 AV,NQRW,BMT,05/22/2022,324.0,187.0
A010,R080,00-00-04,57 ST-7 AV,NQRW,BMT,05/23/2022,447.0,328.0
A010,R080,00-00-04,57 ST-7 AV,NQRW,BMT,05/24/2022,487.0,384.0
A010,R080,00-00-04,57 ST-7 AV,NQRW,BMT,05/25/2022,484.0,401.0
A010,R080,00-00-04,57 ST-7 AV,NQRW,BMT,05/26/2022,499.0,344.0
A010,R080,00-00-04,57 ST-7 AV,NQRW,BMT,05/27/2022,409.0,293.0
A010,R080,00-00-05,57 ST-7 AV,NQRW,BMT,05/21/2022,567.0,349.0
A010,R080,00-00-05,57 ST-7 AV,NQRW,BMT,05/22/2022,493.0,266.0
A010,R080,00-00-05,57 ST-7 AV,NQRW,BMT,05/23/2022,691.0,348.0
A010,R080,00-00-05,57 ST-7 AV,NQRW,BMT,05/24/2022,667.0,368.0
A010,R080,00-00-05,57 ST-7 AV,NQRW,BMT,05/25/2022,732.0,405.0
A010,R080,00-00-05,57 ST-7 AV,NQRW,BMT,05/26/2022,649.0,338.0
A010,R080,00-00-05,57 ST-7 AV,NQRW,BMT,05/27/2022,610.0,352.0
A010,R080,00-00-06,57 ST-7 AV,NQRW,BMT,05/21/2022,831.0,469.0
A010,R080,00-00-06,57 ST-7 AV,NQRW,BMT,05/22/2022,704.0,354.0
A010,R080,00-00-06,57 ST-7 AV,NQRW,BMT,05/23/2022,974.0,465.0
A010,R080,00-00-06,57 ST-7 AV,NQRW,BMT,05/24/2022,1093.0,481.0
A010,R080,00-00-06,57 ST-7 AV,NQRW,BMT,05/25/2022,1026.0,494.0
A010,R080,00-00-06,57 ST-7 AV,NQRW,BMT,05/26/2022,1082.0,474.0
A010,R080,00-00-06,57 ST-7 AV,NQRW,BMT,05/27/2022,919.0,435.0
A010,R080,00-00-07,57 ST-7 AV,NQRW,BMT,05/21/2022,1531.0,676.0
A010,R080,00-00-07,57 ST-7 AV,NQRW,BMT,05/22/2022,1419.0,594.0
A010,R080,00-00-07,57 ST-7 AV,NQRW,BMT,05/23/2022,1942.0,611.0
A010,R080,00-00-07,57 ST-7 AV,NQRW,BMT,05/24/2022,2039.0,582.0
A010,R080,00-00-07,57 ST-7 AV,NQRW,BMT,05/25/2022,2066.0,626.0
A010,R080,00-00-07,57 ST-7 AV,NQRW,BMT,05/26/2022,2011.0,639.0
A010,R080,00-00-07,57 ST-7 AV,NQRW,BMT,05/27/2022,1794.0,547.0
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,05/21/2022,143.0,1738.0
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,05/22/2022,130.0,1457.0
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,05/23/2022,204.0,1547.0
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,05/24/2022,199.0,1819.0
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,05/25/2022,211.0,1843.0
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,05/26/2022,195.0,1737.0
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,05/27/2022,157.0,1455.0
A011,R080,01-00-01,57 ST-7 AV,NQRW,BMT,05/21/2022,259.0,1142.0
A011,R080,01-00-01,57 ST-7 AV,NQRW,BMT,05/22/2022,213.0,886.0
A011,R080,01-00-01,57 ST-7 AV,NQRW,BMT,05/23/2022,325.0,965.0
A011,R080,01-00-01,57 ST-7 AV,NQRW,BMT,05/24/2022,310.0,1066.0
A011,R080,01-00-01,57 ST-7 AV,NQRW,BMT,05/25/2022,331.0,1085.0
A011,R080,01-00-01,57 ST-7 AV,NQRW,BMT,05/26/2022,334.0,1035.0
A011,R080,01-00-01,57 ST-7 AV,NQRW,BMT,05/27/2022,261.0,896.0
A011,R080,01-00-02,57 ST-7 AV,NQRW,BMT,05/21/2022,261.0,1106.0
A011,R080,01-00-02,57 ST-7 AV,NQRW,BMT,05/22/2022,224.0,850.0
A011,R080,01-00-02,57 ST-7 AV,NQRW,BMT,05/23/2022,327.0,917.0
A011,R080,01-00-02,57 ST-7 AV,NQRW,BMT,05/24/2022,263.0,980.0
A011,R080,01-00-02,57 ST-7 AV,NQRW,BMT,05/25/2022,310.0,1033.0
A011,R080,01-00-02,57 ST-7 AV,NQRW,BMT,05/26/2022,303.0,1030.0
A011,R080,01-00-02,57 ST-7 AV,NQRW,BMT,05/27/2022,227.0,852.0
A011,R080,01-00-03,57 ST-7 AV,NQRW,BMT,05/21/2022,426.0,1081.0
A011,R080,01-00-03,57 ST-7 AV,NQRW,BMT,05/22/2022,368.0,857.0
A011,R080,01-00-03,57 ST-7 AV,NQRW,BMT,05/23/2022,369.0,958.0
A011,R080,01-00-03,57 ST-7 AV,NQRW,BMT,05/24/2022,439.0,1073.0
A011,R080,01-00-03,57 ST-7 AV,NQRW,BMT,05/25/2022,443.0,1133.0
A011,R080,01-00-03,57 ST-7 AV,NQRW,BMT,05/26/2022,411.0,1020.0
A011,R080,01-00-03,57 ST-7 AV,NQRW,BMT,05/27/2022,393.0,886.0
A011,R080,01-00-04,57 ST-7 AV,NQRW,BMT,05/21/2022,929.0,974.0
A011,R080,01-00-04,57 ST-7 AV,NQRW,BMT,05/22/2022,844.0,792.0
A011,R080,01-00-04,57 ST-7 AV,NQRW,BMT,05/23/2022,905.0,880.0
A011,R080,01-00-04,57 ST-7 AV,NQRW,BMT,05/24/2022,1068.0,1099.0
A011,R080,01-00-04,57 ST-7 AV,NQRW,BMT,05/25/2022,1097.0,1135.0
A011,R080,01-00-04,57 ST-7 AV,NQRW,BMT,05/26/2022,1027.0,1053.0
A011,R080,01-00-04,57 ST-7 AV,NQRW,BMT,05/27/2022,900.0,973.0
A011,R080,01-03-00,57 ST-7 AV,NQRW,BMT,05/21/2022,293.0,1382.0
A011,R080,01-03-00,57 ST-7 AV,NQRW,BMT,05/22/2022,300.0,1036.0
A011,R080,01-03-00,57 ST-7 AV,NQRW,BMT,05/23/2022,377.0,1420.0
A011,R080,01-03-00,57 ST-7 AV,NQRW,BMT,05/24/2022,341.0,1666.0
A011,R080,01-03-00,57 ST-7 AV,NQRW,BMT,05/25/2022,351.0,1684.0
A011,R080,01-03-00,57 ST-7 AV,NQRW,BMT,05/26/2022,348.0,1593.0
A011,R080,01-03-00,57 ST-7 AV,NQRW,BMT,05/27/2022,299.0,1280.0
A011,R080,01-03-01,57 ST-7 AV,NQRW,BMT,05/21/2022,354.0,959.0
A011,R080,01-03-01,57 ST-7 AV,NQRW,BMT,05/22/2022,304.0,776.0
A011,R080,01-03-01,57 ST-7 AV,NQRW,BMT,05/23/2022,444.0,770.0
A011,R080,01-03-01,57 ST-7 AV,NQRW,BMT,05/24/2022,455.0,949.0
A011,R080,01-03-01,57 ST-7 AV,NQRW,BMT,05/25/2022,413.0,1056.0
A011,R080,01-03-01,57 ST-7 AV,NQRW,BMT,05/26/2022,413.0,905.0
A011,R080,01-03-01,57 ST-7 AV,NQRW,BMT,05/27/2022,375.0,819.0
A011,R080,01-03-02,57 ST-7 AV,NQRW,BMT,05/21/2022,391.0,979.0
A011,R080,01-03-02,57 ST-7 AV,NQRW,BMT,05/22/2022,322.0,846.0
A011,R080,01-03-02,57 ST-7 AV,NQRW,BMT,05/23/2022,381.0,862.0
A011,R080,01-03-02,57 ST-7 AV,NQRW,BMT,05/24/2022,457.0,883.0
A011,R080,01-03-02,57 ST-7 AV,NQRW,BMT,05/25/2022,447.0,1050.0
A011,R080,01-03-02,57 ST-7 AV,NQRW,BMT,05/26/2022,396.0,918.0
A011,R080,01-03-02,57 ST-7 AV,NQRW,BMT,05/27/2022,408.0,771.0
A011,R080,01-03-03,57 ST-7 AV,NQRW,BMT,05/21/2022,164.0,1093.0
A011,R080,01-03-03,57 ST-7 AV,NQRW,BMT,05/22/2022,148.0,848.0
A011,R080,01-03-03,57 ST-7 AV,NQRW,BMT,05/23/2022,203.0,933.0
A011,R080,01-03-03,57 ST-7 AV,NQRW,BMT,05/24/2022,178.0,993.0
A011,R080,01-03-03,57 ST-7 AV,NQRW,BMT,05/25/2022,200.0,1062.0
A011,R080,01-03-03,57 ST-7 AV,NQRW,BMT,05/26/2022,179.0,882.0
A011,R080,01-03-03,57 ST-7 AV,NQRW,BMT,05/27/2022,178.0,805.0
A011,R080,01-03-04,57 ST-7 AV,NQRW,BMT,05/21/2022,408.0,703.0
A011,R080,01-03-04,57 ST-7 AV,NQRW,BMT,05/22/2022,315.0,564.0
A011,R080,01-03-04,57 ST-7 AV,NQRW,BMT,05/23/2022,460.0,652.0
A011,R080,01-03-04,57 ST-7 AV,NQRW,BMT,05/24/2022,487.0,756.0
